	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Adrenal	0.23717858431495667	0.6123233309584717	4.1014553037880095	3.261568109833817	0.5981927907493383	0.49357421834938336	4.698408205194246e-47	0.2366010185542397	0.762817536635464	0.4890000622975368	4.176062515028728e-44
Appendices	0.18578836680260757	0.6097652033690185	4.074814153581426	3.1402598207198893	0.6197911063390358	0.4416725268285001	2.3701243925411306e-33	0.18413840645929608	0.8143006859321519	0.43414157908849366	2.1053969634134885e-31
Brain	0.24870835345748094	0.6380365513450512	4.348570181224935	3.5056062247978987	0.6366266691479052	0.4998618914939204	1.0017579682033201e-45	0.2479610350087814	0.7512534323577033	0.5005991646440823	5.264767938982354e-47
Colon	0.18871873144865708	0.596703662187705	3.952711765020382	3.0854492985328257	0.5830507734251243	0.44453571752700266	3.6964441721386374e-36	0.18768069194714582	0.811094343310085	0.43844092104308824	3.0595215056017573e-32
Duodenum	0.22409492557239158	0.5971341173252538	3.9571515063597658	3.09824016428219	0.5784930660896705	0.4850690421894853	1.1155481791349153e-44	0.22304121829625653	0.7752900425580151	0.4750083506394008	8.67355146626321e-40
Endometrium	0.21080644089121972	0.5874726576120037	3.869097598822145	3.0566229765096744	0.5621675151059117	0.46789216567165226	5.464426149200153e-39	0.209757125666948	0.7893639284211795	0.46191267253582835	5.967172423320567e-36
Esophagus	0.20249352967209172	0.6271206578275547	4.23808608979035	3.266137979629201	0.6376529853033477	0.45704880932438813	4.194890535767329e-35	0.2017019442412315	0.7976835353883539	0.4532851333377114	5.017276116956817e-34
Fallopiantube	0.21687873610179698	0.5895327237213255	3.8885535632111647	3.0540627174136876	0.5736993436725374	0.47691889251143127	1.9346516716981204e-41	0.21620997258956404	0.7834379452500879	0.4678808781716916	2.177390551042782e-40
Fat	0.2036846594223977	0.6416385953602203	4.388545575099174	3.4609510292557943	0.6616608815398807	0.4621603068352373	5.394520445474331e-32	0.20190591782025388	0.7959427420210009	0.4550051607696683	3.9466517951701685e-29
Gallbladder	0.21493744251747054	0.6261519326897609	4.229972788964107	3.256967018921466	0.6360682679020183	0.4743614765964569	6.485519063941288e-38	0.21353005515890816	0.7850724948783788	0.4660944858658803	3.232620896475744e-37
Heart	0.18750045870737808	0.6361205081675014	4.327690987247927	3.3978112581615028	0.6472758765940563	0.43821445392705327	3.7954279280709256e-29	0.18559910770013804	0.8124509354067364	0.4367488329564102	3.691793328320835e-27
Kidney	0.25458112526370036	0.6410671126898584	4.383858291117141	3.4883559730415556	0.6551805100887759	0.5103661447604944	5.240260395065987e-47	0.2533222358907225	0.7456366103666138	0.5066847269288999	2.8369270488780597e-46
Liver	0.21352315758699106	0.613839066567166	4.113678687094264	3.2496939134906433	0.6027808810085886	0.4695738492239398	3.146823399557443e-39	0.21280377684117865	0.7865453233865238	0.46492979054179473	1.6845229415383394e-37
Lung	0.205955235581889	0.6118837636136809	4.0982126308769455	3.2020928698056332	0.6145206002898521	0.47561437996472933	1.5301160720885642e-42	0.20511464483598868	0.7938699580255688	0.4567231486082292	1.0914594762118073e-38
Lymphnode	0.2382972707699751	0.6188659512218999	4.162650462704825	3.2697525402251606	0.6266948460179653	0.5000101600262483	3.3117393165839563e-43	0.23700081707395187	0.760982701292708	0.49075917938849767	7.175787724669884e-41
Ovary	0.18932305917547715	0.6236349199704996	4.206111483152706	3.275372519435769	0.6317635173269359	0.4425957293623326	7.947455324428544e-31	0.1878753861173553	0.8108766340521681	0.4377928948712122	1.3397777867083626e-31
Pancreas	0.1859194540222566	0.6425029518388271	4.3923007968412495	3.465407802970585	0.6643808522940654	0.44425555061032007	3.798034328517906e-32	0.18539354673963282	0.8141329688883392	0.4359509285173031	3.6647538097072897e-29
Placenta	0.21147895971719954	0.6192982432814057	4.1640199025612725	3.2658316841336656	0.6258469961285263	0.47160483365458256	2.785182994632667e-37	0.21045426459858163	0.788373063106089	0.4623083718230652	4.3529118371126085e-38
Prostate	0.1983193168966581	0.6192317188762752	4.165632273735377	3.316243996952872	0.6185922785826833	0.45609984054882374	8.46879827978174e-34	0.1972656074929296	0.8017751600524952	0.4481790888589773	1.0647405051501704e-33
Rectum	0.23269513496114605	0.6040375856722634	4.023107307796038	3.209880620290426	0.5899744359502581	0.4865364459099665	2.5312642995853157e-40	0.23098995430796787	0.7676997712524265	0.48428495821761136	8.360579679912104e-39
Salivarygland	0.24561638638400582	0.6473146335653016	4.440491886291647	3.4589502187704917	0.6757142885008851	0.5032420438766014	7.815954705506032e-47	0.24481097382130082	0.7540307176331058	0.49818955405578114	3.88505558885171e-45
Smallintestine	0.22454061355101448	0.580998566450454	3.81294291434559	3.043827952102195	0.5426966447241404	0.4827684445508704	4.953583764170165e-41	0.22230560804419985	0.7754982636684564	0.4757684214944525	6.48964414624341e-39
Smoothmuscle	0.21340415243980262	0.6464778316210867	4.433895581396177	3.5062860910273854	0.6680742213330318	0.4663316968445863	3.870399540600651e-39	0.21257432932407908	0.7860772602953249	0.4653500965140208	2.274180091062153e-38
