	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Adrenal	0.48345175944684415	0.6119557009124731	4.096415157861402	3.2939446539052972	0.6003401819761673	0.6782732173374431	4.9508799496570943e-104	0.4830121510221862	0.5164407370101888	0.6953219336792745	5.437130251838917e-106
Appendices	0.4071870024146701	0.6124518970781614	4.098721465468061	3.158851979380297	0.6160224429230531	0.6176357330750883	2.634126943425401e-74	0.4058620735127324	0.5931395998019816	0.6386839580288026	2.9326819416462215e-73
Brain	0.46680192015425365	0.6340942366296456	4.3089551448349335	3.427071914258897	0.6396872643266691	0.6680896230934326	4.677701516794533e-98	0.466207250556843	0.5332674690579091	0.6842406116468343	4.372358120828167e-108
Colon	0.443103668946842	0.5977031659249663	3.961187289025682	3.0838116346189546	0.5845050719979242	0.6464159457576149	1.685533227582118e-78	0.44236926598094434	0.5571251331812613	0.6659313779602177	2.507560106622676e-91
Duodenum	0.48352472148338654	0.5977565014832864	3.9637808640301957	3.133977490924883	0.5763389350749707	0.675885410235378	1.0501791872910854e-105	0.48279837394372	0.516392267159697	0.6955137151415656	4.1493050787475337e-112
Endometrium	0.46384467598969736	0.5863798936081616	3.858867352239662	3.045199688616526	0.5613184858384965	0.662456128287993	1.4239397513607459e-93	0.46315546462831136	0.5363921825597502	0.6814593824592567	9.588738505495409e-102
Esophagus	0.4442182396427431	0.6251014914866706	4.218705133146124	3.2745397387087616	0.6322871844888354	0.6446529194030588	3.007974418136802e-87	0.4438692051556753	0.5555547097095886	0.6667303434808278	2.9042505185642763e-94
Fallopiantube	0.4439443388193551	0.5935520461435351	3.927145064817578	3.054640592245316	0.5782127599408378	0.6538367062695818	3.315728176190902e-87	0.4433969785891228	0.5561798737577104	0.6664595205895696	8.31036054350697e-99
Fat	0.42297145045358403	0.6395456849620175	4.367997070533602	3.434285022251042	0.6565070713207414	0.6341371822087105	1.4657951329757796e-76	0.42139553195394636	0.5775319649071153	0.650655881101091	2.0914109072816778e-85
Gallbladder	0.43005410298958074	0.6252609215806227	4.221197878159823	3.3266920311616794	0.6323758042274885	0.6371192155873528	2.0771554570434923e-77	0.42881912583321535	0.5703409129503382	0.6560077957948997	1.5784025447821888e-89
Heart	0.4952814113631323	0.6346008612680394	4.312505672337975	3.393560759092422	0.6443136546731364	0.6790071859715169	1.4189463158291834e-83	0.4938449776747837	0.5056421945252845	0.7041841936964829	1.8097080268293593e-93
Kidney	0.4745009191907677	0.6416889191714474	4.390492508103448	3.428791007807303	0.660717657064976	0.6671268385059657	1.4824060042650673e-86	0.4735275454852312	0.5254249362281384	0.6890383743827029	1.3537422355773033e-95
Liver	0.5180517130155454	0.6118288377548369	4.092920051497449	3.232354522470741	0.6030327175709945	0.6964280232875287	3.811438077396438e-108	0.5173342797030946	0.4823356631107435	0.7198077458778087	2.233186033775005e-120
Lung	0.43312591713677817	0.6147879157769449	4.125244136948996	3.2221573200599543	0.6181670155608957	0.6468868273747264	3.2513797630562516e-96	0.43242920873564383	0.5669960213382208	0.658368602079354	1.2463972063636909e-95
Lymphnode	0.42632630877741606	0.6175230146221862	4.1484686080072795	3.2428011461944117	0.6258907359064857	0.6395713555464011	1.3120642106002766e-80	0.4254977145389307	0.5732488441611301	0.6532386999577529	1.4827257540204463e-84
Ovary	0.3806745782507406	0.6130115882524227	4.103774811856038	3.272535301597734	0.6020418605504761	0.5983711292404018	2.2089495522290392e-61	0.3791049428397112	0.6196500559565411	0.6173412039445807	1.0671689907751815e-68
Pancreas	0.4190807868585879	0.6359667492827406	4.328420282239459	3.4268130880386223	0.6451090436534758	0.6217889047026464	1.4137626473533022e-72	0.41879477318794456	0.5808701004735353	0.6480252375701538	5.3124073514711017e-79
Placenta	0.44562463129490465	0.6189636419316638	4.159559629346567	3.194378167034734	0.626103743668157	0.6536875980682589	1.2427083055026492e-87	0.444467974960231	0.5551102734843201	0.6676587860838138	3.859438334111479e-94
Prostate	0.42673941415517136	0.6179819722582818	4.152907494136974	3.325142720484254	0.6155486822995929	0.6353716953722397	3.234911020406873e-75	0.4261038968449352	0.5729042706266623	0.6535881679161418	1.7466119906098543e-85
Rectum	0.452166389682463	0.6043940691077826	4.025069981445995	3.1733677695705094	0.5922639539860173	0.6536226597271538	9.090727702387836e-91	0.45149914307166766	0.547704563301677	0.6727166246333128	1.0056630366212202e-94
Salivarygland	0.4626310022848795	0.6512204392249472	4.480102270818489	3.5313936409315927	0.6801810649351172	0.6665978037634486	5.809021242136126e-96	0.4618837536609421	0.5372767703475751	0.680311720901046	1.3113699898182522e-97
Smallintestine	0.4851229185205937	0.5851969459505327	3.85095742516231	3.093211357409607	0.5503953524294991	0.6778198976777572	9.05623062601648e-103	0.4839051149289279	0.5152864956018269	0.6968142712627217	4.426159798543377e-115
Smoothmuscle	0.4354774433112577	0.6424468819463749	4.3948889927174575	3.448661772301809	0.6610615433279033	0.6400229621002218	4.15098389847935e-72	0.434790943669397	0.5638877844816083	0.6604485610368087	9.946215934213014e-83
Spleen	0.4362493297944715	0.6172053204578101	4.143377846500023	3.352663114854731	0.6055235741097289	0.6413910497623647	3.311056052261342e-80	0.4355414574103569	0.563716542300782	0.660602069724599	1.4269144970119949e-86
Stomach	0.4541317069983385	0.6060375275463714	4.040715858685695	3.1821551560018086	0.59445290983442	0.6522560397330579	4.4544413616265166e-96	0.45352651354697865	0.5461898306811848	0.6739248370839597	8.681429085776219e-103
Testis	0.4292515234231174	0.6186173378012538	4.157945290122958	3.3016304043844684	0.6182936213561299	0.6423052977253468	2.6941458883581113e-93	0.4286391955434695	0.5705852254997988	0.6553472472890435	2.2796754276244655e-99
Thyroid	0.46097385765201154	0.6326454624411988	4.294870553653963	3.3618339233054932	0.6391285764795719	0.660935885340985	1.4302552026375348e-79	0.4598426956197111	0.5393972764142922	0.679229292695454	2.2709838148802222e-89
Tonsil	0.5025553827298942	0.5844340722205285	3.8426853699291974	3.051214468214915	0.5547031211662429	0.6880431329235694	9.972958310480835e-98	0.5019426435144865	0.4973262566829151	0.7093921301486247	2.3524730440411274e-107
Urinarybladder	0.4279732093965897	0.6253084356803537	4.221607353062877	3.2960032324138346	0.6390451028313084	0.6381838379117711	2.4136124159324553e-79	0.4264500720645973	0.5724738323173794	0.6540916676300605	1.2463798547986078e-84
