	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Adrenal	0.4857060406549536	0.6128886525737629	4.10673409379045	3.281998892890609	0.59802797551062	0.681537673914376	7.371100995551687e-106	0.4853156812778372	0.5141393243600344	0.6973467567811862	2.8345886195442904e-112
Appendices	0.4100662907135579	0.6101083434370165	4.0774911014369355	3.175650207021174	0.613178769043958	0.6214289951413474	2.5320107999698105e-75	0.40883264665504726	0.5901698765245683	0.6411536827784774	2.5413083325193456e-73
Brain	0.4689409209362069	0.6380653150264088	4.3488730184475015	3.50785640374439	0.6368681891622332	0.6706120699483796	9.792102725040805e-104	0.4684130796865631	0.5310651356653165	0.6856547052417986	1.9553257696970036e-107
Colon	0.44631082716012227	0.597028207131316	3.955730575037544	3.1281863813107202	0.581626653794169	0.6530037428130864	1.2006748618605257e-93	0.4456176394402204	0.5538758589337966	0.6688862636184622	7.026452723016641e-94
Duodenum	0.48262311923053797	0.5975776275266298	3.961230562853811	3.119738081806594	0.5773763378991377	0.678678901018094	1.994805927270205e-105	0.48192285958896297	0.5172621694475621	0.6949433472763336	1.1290799916431204e-111
Endometrium	0.46298470218464705	0.5879102517285744	3.873082839743977	3.0680435121560623	0.5623078550317319	0.6621788052773657	8.977342934846711e-95	0.4622850551086519	0.5372588638583904	0.681379980514806	9.34838696855789e-103
Esophagus	0.44306454597451966	0.626846518270335	4.235335381521546	3.3075845308239	0.6333212373471702	0.6451649994036545	7.108135760331218e-88	0.4425783117047115	0.5568410575006425	0.666509153608454	1.38320883471817e-93
Fallopiantube	0.45050655556930347	0.5897477248577772	3.8903154777676705	3.078121742915158	0.5710707590550348	0.6598042596969822	5.976520935485797e-93	0.449992687820712	0.549590377057108	0.6716227426749801	4.338139106488336e-105
Fat	0.4264388999615999	0.6396999106069735	4.368606771599586	3.456786822426385	0.6517868639061942	0.6378115581814842	1.2205894835747904e-78	0.42523769033856273	0.5737097634048329	0.6536150357329926	1.5452015565891498e-79
Gallbladder	0.4294072873100581	0.6262561138089198	4.23075491792041	3.2756341307937418	0.6328470147596315	0.6391115548168226	4.271786329504394e-83	0.4283775294902347	0.5707781200185859	0.6560459250924546	1.355206587525433e-91
Heart	0.4926373263896699	0.6362719649301166	4.329222693238949	3.39601970553072	0.6476094074035526	0.6791142276916068	7.725108826753348e-90	0.49144785303920757	0.508029656556097	0.7028067062444344	1.3273218304368921e-96
Kidney	0.47846527692359375	0.641416691403763	4.387386779965245	3.493367947152408	0.6554517794297616	0.6748243918487521	8.849135772264306e-92	0.4775884143336663	0.521371381925887	0.6924129649985108	2.4855879245118087e-100
Liver	0.5191596111182127	0.6146967800768627	4.1214301825777175	3.2835754152124172	0.6016426351047751	0.7009798104102118	1.5196790178238828e-109	0.5187279895136786	0.4809406658613217	0.7208076123049719	4.6682843500124044e-119
Lung	0.43958127674014486	0.6119150808236318	4.098345418589309	3.1865204886630836	0.6106398630854313	0.6541870492149634	1.298814062640259e-95	0.43904935288974556	0.5603856927416578	0.6636935237881441	4.474227103960276e-96
Lymphnode	0.42870395291968777	0.6191642499808792	4.165278741622404	3.3134960761733283	0.6233550704726527	0.642639298744651	4.0947146656007334e-79	0.4277242909288024	0.5710471371972133	0.6555336681929423	5.437276400479324e-81
Ovary	0.3848568449437278	0.6125658461807654	4.1003098646980884	3.246358043909427	0.5975205284262469	0.6043619351931656	1.6485360753216962e-56	0.38352217969083197	0.6152221445122269	0.6209804935228592	4.9753331575196094e-65
Pancreas	0.41519289660461167	0.6365272083551099	4.333127157900643	3.399783465268866	0.6487738624652625	0.6211575478505085	2.1265061128347474e-69	0.4148753106772295	0.584790875504533	0.645434340613781	4.835262830837122e-75
Placenta	0.4459687153655344	0.6198012560993829	4.168852296077764	3.2717339870320705	0.6254088979139925	0.6548277450505965	8.009911349441653e-86	0.44527876851401044	0.5543024029838242	0.6683660940620275	3.64354913487667e-92
Prostate	0.4262466923444922	0.6196629427894972	4.169580551847192	3.322625212236688	0.6162470263250684	0.6401988331452179	4.3889333162621933e-82	0.42546816977050944	0.5735464907420399	0.6537101308809146	2.455852884373134e-90
Rectum	0.4568678814649078	0.6042387231446298	4.02470331095301	3.2086729976260338	0.58773110187445	0.657360989214883	1.4287623407208024e-89	0.4556477964668176	0.543581374690906	0.6763009784868234	1.0462079145277119e-97
Salivarygland	0.46700474382119905	0.6483581896220264	4.4511213402227625	3.476558163106259	0.6742196848382163	0.6740887336387626	3.704843880579272e-93	0.4664765068397488	0.5326749995299902	0.6840548609841008	1.1503029015954488e-99
Smallintestine	0.4933095665448253	0.5814190962644383	3.8165142395492886	3.064672168375945	0.5418857476132019	0.6870583362731747	2.4099847607195754e-111	0.4918553735242791	0.5073500755714292	0.7030227587998045	1.6932670841539465e-115
Smoothmuscle	0.42957391014569035	0.6468462318413051	4.437641749480572	3.4935289880640106	0.6680660840468439	0.635559896613407	6.878553027107138e-79	0.4289543017023491	0.5696968595940365	0.656324965877002	5.1329308351721195e-90
Spleen	0.4357545344321225	0.6159867238113548	4.131436453336527	3.3176630165694676	0.6061806373031723	0.6447827297247837	1.1568307443277618e-80	0.43476359838789636	0.5644790166354083	0.6606819314483287	1.0268815730311899e-89
Stomach	0.45745922259396254	0.605526844417681	4.035075042789525	3.170484563308015	0.590493502883558	0.6565208013000162	3.6552686811934034e-98	0.45709129982948493	0.5426222483234201	0.6767126477344558	1.8190687492112678e-104
Testis	0.4317238262425339	0.619155368164348	4.163643285677066	3.30180776537959	0.6154009798598911	0.6469689279814859	1.6452119954360944e-93	0.43115572584164646	0.5680665607751043	0.6577590186965607	2.4003751199968138e-98
Thyroid	0.454569391566113	0.6374723943314682	4.34079260276084	3.449591670973683	0.6471180990841884	0.6595186996124915	8.236869163570244e-91	0.45312541585667654	0.546079985867509	0.6750115867113199	1.786443514649235e-94
Tonsil	0.5072224325675607	0.5843759761455508	3.842320265159045	3.0846518138774814	0.5491399792909978	0.6923268053695744	3.147685801488612e-97	0.5066496901453736	0.49263421972896493	0.7129014763812908	1.2139515860093697e-109
Urinarybladder	0.42895408153743986	0.6278098090484616	4.246608705890564	3.2935210487781212	0.6388308490270749	0.6383491697767669	2.4852466926897575e-82	0.426928914674847	0.5719829007749706	0.6554916681521947	3.5196719222147063e-87
