	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Adrenal	0.23347482660707977	0.6121427399918897	4.098265909520609	3.285611331754695	0.6010003400914463	0.48918420739288065	6.986654784844475e-47	0.23283068893150233	0.7665828726613128	0.483491295406841	1.364671874628236e-43
Appendices	0.18240422132912948	0.6123529009570934	4.097870302255962	3.1717397976123394	0.6221192339665528	0.4340008383552025	3.6076149950777113e-31	0.18053614997746426	0.8179157317549993	0.42812518565419	1.296285243494262e-30
Brain	0.24317857251798225	0.6363909366221959	4.331893785916681	3.440355401919118	0.6417969856796715	0.4945783511827099	3.209361300576674e-45	0.2423102879573234	0.7568892863586268	0.4940801227297699	1.9972682720315955e-45
Colon	0.18311546246994198	0.5978613317144059	3.962588724426278	3.0943430257703652	0.5864552775888477	0.4404335037219438	7.771727203988681e-29	0.182024810023312	0.8167532065429206	0.42920583650601707	4.574873023910035e-27
Duodenum	0.2258104935990159	0.5974389291345318	3.960963280576233	3.1131598283299327	0.5774514377370153	0.486596772062222	1.6628458132135924e-44	0.22469841336124655	0.7736552070244878	0.4752942235392653	3.862362375120276e-42
Endometrium	0.21079269503834103	0.5866945935654636	3.8617315010967657	3.0472841189796696	0.5620625951737261	0.4685419541283575	3.3277149039500917e-38	0.2098383967523778	0.7892813018419238	0.46028115168811656	1.962757089397619e-35
Esophagus	0.20585421715306906	0.6249329553643148	4.217077517274276	3.241545288140755	0.6350456016727712	0.4596422229460453	2.5229658308416873e-36	0.2052876252351059	0.794099660632272	0.4544419093335416	2.112061405837137e-37
Fallopiantube	0.20900187581649043	0.5930897806714889	3.9231424079674775	3.0547239310290815	0.5798630412857971	0.4713167958891809	2.041828247625516e-37	0.20828488532619463	0.7913573606156133	0.45816381648937626	8.269565000645026e-35
Fat	0.20220847936517733	0.6401199389663115	4.373800998033866	3.392167965227253	0.6634020666489382	0.4618457604724007	7.2541426202883895e-31	0.20014983410717607	0.7976628497948675	0.45050487106325976	4.1320218540170094e-29
Gallbladder	0.21663220389426474	0.6247933980584045	4.2165135742313185	3.3489095989192386	0.6348175232924478	0.47637919279899715	4.843431384188702e-40	0.2149683590780816	0.7836493611162714	0.46641929231706414	2.5668517010701324e-37
Heart	0.19230344846688016	0.6347085735220104	4.313628529483028	3.3773891706134753	0.6439414001909467	0.44502074095377503	2.615683677615157e-32	0.18999705201672318	0.8080828618149672	0.4389320470639656	9.916688186554112e-32
Kidney	0.2466349473862683	0.6421827773721573	4.395693827631931	3.421213118976952	0.6626473930156144	0.4992743563363575	8.390365471819336e-44	0.24520826937241624	0.7537429921818074	0.49691030529155195	2.6070952061439096e-44
Liver	0.21093741260604681	0.6110160349472717	4.085772821200468	3.215849230320748	0.6048660412956093	0.4719216190010102	6.982429590919467e-33	0.20978350341280455	0.7895718000168148	0.46061316005934694	2.284485607310622e-36
Lung	0.19951252795340224	0.6140726067800294	4.118511841129502	3.2217722592709555	0.6201744457101631	0.4686993219370862	2.972242107099017e-44	0.19844322712651663	0.8005288541008797	0.447542603587599	5.068057084573521e-42
Lymphnode	0.23364324637739958	0.6183876714470382	4.157121048104657	3.2296444623009357	0.6303747940079746	0.49554503297890273	1.8663492984706125e-42	0.23246540422001477	0.7654849054361025	0.48406172421079496	3.7381396670263845e-41
Ovary	0.19304865358053086	0.621636829889009	4.185622922441148	3.2552623135095047	0.6288208304977306	0.44619149322688517	1.5095247055894063e-30	0.19136925982429318	0.8073898464510096	0.440013138414603	5.662325452341158e-31
Pancreas	0.19215665050452957	0.6406614456718472	4.375149870420946	3.4286226878549435	0.6594095427537509	0.45111365834351147	8.346894687740115e-31	0.19174420009418075	0.8077669619510625	0.44045660487601507	1.0324582574128436e-28
Placenta	0.21009716229733977	0.6197526162281374	4.167200057222641	3.214133087766418	0.627363664360106	0.4721468313933591	1.7739280163459787e-41	0.20839406575755187	0.7904226523951063	0.45898588143783003	2.9289168540497576e-39
Prostate	0.19945054248825225	0.617991966421123	4.1531629925715885	3.3121616441325394	0.6179052863586822	0.45581514958800495	1.6220078320127357e-35	0.1985481547225845	0.8004989008640617	0.4472137886871795	3.868073671098658e-35
Rectum	0.2255759745093277	0.6049126930810163	4.030379046966663	3.15515241781555	0.5946555527448257	0.4832430713150474	5.057241319170438e-38	0.22458497236687508	0.7740693538014791	0.47579660267272333	1.5320944778601028e-35
Salivarygland	0.23840866366753405	0.6515327643073391	4.483275147033151	3.5286911923751396	0.6823586270948898	0.49660682125023375	2.1433602359130505e-43	0.23733990417099485	0.7615027536462601	0.4888962336882446	1.6997808248152378e-43
Smallintestine	0.2130298402031717	0.5846779098693247	3.846292944473388	3.0812673529023433	0.5507747434776527	0.4728595588008118	8.395419963143817e-40	0.21113614560848334	0.7866160261556919	0.462100508740621	1.3196340173390093e-38
Smoothmuscle	0.21970044763737445	0.6439933265842662	4.410470905210654	3.474620734597763	0.6629757925422544	0.4754610271502539	8.504304369019765e-33	0.21878078142239085	0.7798885193877982	0.46989678682707936	5.449929794336149e-34
Spleen	0.2258665228339468	0.6182068928189097	4.152933526462504	3.352065587421785	0.611573937221339	0.47840801569962876	1.1213381223306159e-37	0.2250049716553046	0.7739070958026109	0.47620464187178746	1.649970112539263e-36
Stomach	0.22479625372557493	0.6060747562817778	4.040975504556378	3.1951714076704576	0.5960714026395835	0.48315707147353776	7.243596672986881e-43	0.22392270460812372	0.7754300617098892	0.4745298717847355	6.476092346491112e-42
Testis	0.2260516069432898	0.6193381410394417	4.164931774878495	3.3191501783044535	0.620001433487897	0.4814304736259699	1.6859076132701695e-40	0.22525017427234612	0.7736682586991103	0.47607310113591766	3.8035085777373975e-42
Thyroid	0.24614388677125087	0.6330266711549005	4.298982290484533	3.376988596544865	0.6409950115039991	0.4962598780315227	6.984808680403649e-41	0.24451994623020995	0.7540785101923885	0.4966684130669231	3.3629835995635206e-40
Tonsil	0.23544851813792383	0.5853452947477731	3.8507139702456215	3.0651097372153924	0.5557586342457034	0.4957015014752592	8.70150195851604e-43	0.23447806579912517	0.7647079025178023	0.4856895457973409	7.656056238644405e-41
Urinarybladder	0.19910216368927158	0.6242906016064624	4.211864736217889	3.268542143504226	0.6409544212554443	0.4621964141056739	1.2596866519115711e-34	0.19679604266233047	0.8007813300532609	0.4461935080014915	9.508779650621576e-32
