	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Adrenal	0.23435310753649521	0.6118158898080236	4.095106967317609	3.2954205530037752	0.6002880040744238	0.48929360025603064	3.736858351538769e-47	0.2336922459753991	0.7657222985680254	0.4844395144544128	6.089629664937678e-44
Appendices	0.18377961781073276	0.6116638614088199	4.091576846073563	3.150170122490425	0.6210826047115876	0.43494696814042283	1.2201922622948591e-31	0.18196142390167797	0.8164894954461019	0.4297261746084283	3.0305305992787953e-30
Brain	0.2452010116787441	0.6351598924264437	4.319718912613906	3.4491425403424865	0.6400519025750924	0.49579484334983065	5.2122242477745176e-45	0.24434780449735277	0.7548548063174394	0.4961629650600157	6.512977491476218e-45
Colon	0.18313019443960402	0.5978608255022386	3.9625998830191116	3.090098336360682	0.5864532607067133	0.4405673436151322	6.602787526873929e-29	0.18204269580900562	0.8167349541029161	0.42922865697777174	3.692819934883442e-27
Duodenum	0.22598518279057248	0.5972955795086268	3.95967559741014	3.1170363202150524	0.5773093292974545	0.48647694736622044	2.62945690567308e-44	0.22488203944568555	0.773472393789113	0.47548977496465666	6.00473311798604e-42
Endometrium	0.2120425720740057	0.5863771360522536	3.858845284408107	3.0503664371711334	0.5611794802075328	0.46871520735854244	1.2065286197225537e-37	0.21104129679610978	0.7880801662256725	0.4616507952567533	3.517064146778492e-35
Esophagus	0.206934326384654	0.624482905144853	4.212804254192422	3.2517965040399526	0.634190661599533	0.46008873078602885	1.5521785025929224e-35	0.20636468957582585	0.793023235647788	0.45563153563585973	2.2615240205597053e-36
Fallopiantube	0.20881515585990523	0.5930868308945701	3.9230811685611493	3.057011120888984	0.5800036914350829	0.4711317636402976	1.410376840231134e-37	0.20809653143613677	0.7915456925668983	0.457936728390944	6.249302717614962e-35
Fat	0.20470037371830063	0.6392354249995763	4.364846888840864	3.4034619112556106	0.6613431670033361	0.4631807499571079	1.4275342898781998e-30	0.20255516740409135	0.7952676776889197	0.45326619479639263	5.951721239866484e-29
Gallbladder	0.21754809146405596	0.624671309010789	4.215275866903045	3.3371702388574405	0.6340961293252988	0.47641014707398377	5.242357805432266e-40	0.21586632137995204	0.7827520516799967	0.46743802757427133	6.598591651948813e-38
Heart	0.19207884263665553	0.6347168343661743	4.31365810425927	3.3961300429489882	0.6440939198945478	0.44457312341061456	3.5978015122438704e-32	0.1897912576565489	0.8082862681254621	0.43868508872261003	9.099664110349197e-32
Kidney	0.2490245720804031	0.6413268236406257	4.386899842087919	3.4165215865172627	0.6605236634006902	0.5017093920461836	3.756122350292127e-44	0.2476148198873051	0.7513390857557489	0.49930831265030895	6.394419978503931e-45
Liver	0.2115134771559911	0.6107440189885465	4.083077845327938	3.2153464671364373	0.6043762138393269	0.4722369453935449	9.312816346490809e-33	0.21032737188785786	0.7890280016700842	0.4613002049920665	1.7928886085433593e-36
Lung	0.1994657013672653	0.6140478029945922	4.118272459040331	3.225120809324231	0.6202205982239095	0.4685796457549146	4.378841891761892e-44	0.1983900491942327	0.8005816505478002	0.4475067762751393	6.047482888644366e-42
Lymphnode	0.23694842243167957	0.6165012442649725	4.139015464920694	3.2338495636984192	0.62759957220876	0.4976071483668803	4.221119953197281e-43	0.2358228589030058	0.7621371643335187	0.48742171844508403	1.4321821361830934e-42
Ovary	0.19564036898649992	0.6205535271445501	4.175303468784445	3.2376723193878214	0.6268270536755838	0.4477633565839173	2.788259034769015e-31	0.19392158763178372	0.8048413540568156	0.4429221029368534	2.554775766801518e-31
Pancreas	0.19300185741821657	0.6402765433594383	4.371312929121055	3.4202975245314016	0.6587596581248173	0.45062352105019554	3.704881567557833e-31	0.1925846659493594	0.8069269211202765	0.44128642187095163	5.170344780298757e-29
Placenta	0.21173415610913443	0.6187075139989151	4.157116350856745	3.1919874675577704	0.6260178814809795	0.47276884516148465	1.3807551233910782e-41	0.21006201948968473	0.7887558267050991	0.46082492040764167	1.520153855217428e-39
Prostate	0.20052061585496217	0.6173953335681419	4.147493744203706	3.3187519636514273	0.6170697689315009	0.45541242493544765	1.759747559026047e-35	0.1996363071751452	0.7994117021130325	0.4483838379033206	3.640526138370614e-35
Rectum	0.226758994914049	0.6041727049898463	4.023330153683106	3.1610227852253	0.5936734000507269	0.48389851784315796	5.494781013370377e-39	0.22580869001250248	0.772849027860826	0.4770840413266835	2.4575167370411183e-36
Salivarygland	0.2403939723516526	0.6507853925419047	4.475604490676198	3.5071673327297916	0.680639645052718	0.49659804886418046	8.191628305197995e-44	0.23929925363832685	0.7595486614569668	0.49083880949469655	1.5453696025045318e-44
Smallintestine	0.21312055371331834	0.584652159161786	3.8461600958807396	3.082767486513674	0.5507235115875303	0.4723486781169224	8.816026351007211e-40	0.21123148699473432	0.7865157422640959	0.4621538699653149	9.431871362548144e-39
Smoothmuscle	0.22209811642761862	0.6424044341862198	4.394464275945427	3.4481365110373803	0.6609312138163782	0.4774421520654551	2.2407531200421716e-33	0.22115277213868806	0.7775187216664599	0.4724372517286349	1.603276233945518e-34
Spleen	0.2315792312352422	0.6162556393161376	4.134420216417426	3.3398058407410884	0.6072240021944841	0.4817676478943945	9.467643158243234e-38	0.23061476365413786	0.7683083100681235	0.48205418746075823	4.606518115435671e-37
Stomach	0.22569657264896376	0.6054374868169182	4.0350471372648204	3.1846773938721302	0.5953563284898394	0.4836424273176589	1.5069137169783222e-42	0.2248355693255344	0.7745186953439513	0.4755008202114894	1.538943167698772e-41
Testis	0.228438463149975	0.6183242832459269	4.155080240516999	3.2933001292930677	0.6181520703243082	0.48270320818429163	3.549438429153296e-41	0.22760709276516827	0.7713133819775467	0.4784908342796423	2.9703901010057494e-43
Thyroid	0.24821406610772118	0.6322521403389665	4.291013590169518	3.3481367139669755	0.6391920506487333	0.49815763229767784	4.307200952287367e-41	0.24663275001646512	0.7519665791129799	0.4987935306992277	5.872473976867607e-41
Tonsil	0.23685952538951502	0.5848854841853839	3.846682148455751	3.059961774523744	0.5547467780954521	0.49631554138607353	2.4876295915327564e-43	0.23591921797859267	0.7632668106362873	0.48716205804799906	1.3432508719525868e-41
