	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Adrenal	0.33967718956865167	0.7008046553167325	5.029083834658524	4.045700710886501	0.7674055532431968	0.5659903117133981	3.9480744144498345e-63	0.339248142225497	0.660044817197216	0.5827652389767101	7.431192615795739e-66
Appendices	0.2686280177111579	0.6895262604724103	4.895579139180012	3.7867151828967445	0.7598773723445494	0.49570903233841423	2.7247026254147804e-40	0.2672221128930553	0.7315503721409445	0.5187142826764007	3.2183663913096795e-40
Brain	0.3081080860063015	0.7325483809086377	5.406375056071685	4.309980912070611	0.829938688212672	0.5380586908288703	2.535894731631577e-56	0.307372116675917	0.6919433127587187	0.5561507434176999	1.7640825442771753e-61
Colon	0.31903971933380254	0.6716939539119393	4.701405819231818	3.7125928640644057	0.7158144463270821	0.5410939807489791	3.564553744824672e-57	0.31798750454242286	0.6813900400247561	0.5647997869569579	2.4956665647712792e-59
Duodenum	0.33904862399394625	0.6852539579495487	4.850069500648465	3.9414960153227674	0.7381497419954136	0.5589028533585022	9.519907358654072e-62	0.33762911759069936	0.6613284594258344	0.5823032043073828	5.1550223744919465e-71
Endometrium	0.32991188449131564	0.6662625411953911	4.639432561599309	3.6911194559963363	0.7020075829843104	0.5480730387818559	3.5579431367633783e-50	0.3290500165709359	0.670385007686252	0.5747963643332312	4.5659098711380015e-57
Esophagus	0.30119301893907424	0.7115258763729332	5.150405972954017	4.014584454606891	0.7949924480727739	0.5177844192719487	4.8355593534122155e-49	0.30063461654900714	0.6986316729217069	0.5489718965218786	7.579291291066796e-53
Fallopiantube	0.29908810475014286	0.6745390388934527	4.731154293452049	3.7109851688619253	0.7288655347414963	0.5249807641935775	2.105718843889114e-58	0.2987902813997321	0.7006688418629434	0.5470253946960433	3.7015306419434443e-62
Fat	0.2681283435669399	0.7315482373228079	5.3983787663879115	4.33215711337761	0.8316251380929636	0.4930379847956437	1.7030406680191234e-36	0.26609539653922154	0.7325464147007602	0.518309944345637	1.8371286753320313e-38
Gallbladder	0.27247479304068656	0.7183956131644744	5.233803262846268	4.12410710704904	0.8070271531985215	0.4950884595970053	1.5652626892976752e-39	0.27113390845000024	0.7277845647104235	0.5228724823588128	1.6274930064768918e-48
Heart	0.390078007532328	0.7040812378368496	5.060857995086378	3.9761756278792633	0.7786443021839663	0.5902888661827886	2.4028150963678732e-58	0.38843136016930174	0.6109484061167112	0.6252599974721326	4.797056116464524e-65
Kidney	0.3090164166795611	0.7429255900948851	5.542735920296966	4.322036045625899	0.8677378257390937	0.5334908437126371	1.6261942751809928e-48	0.30815237446465044	0.6904740999030585	0.5560520344750385	5.547123619663811e-53
Liver	0.3913304344516261	0.7015366719300268	5.036314003314308	4.040487505880862	0.7618984050744598	0.6058160165322214	1.4211652439824533e-69	0.3907959531895735	0.6087886667745563	0.6258438811524498	1.4243877886821358e-78
Lung	0.29298432228920923	0.6982332931433926	5.000755613707882	4.0177875770913944	0.7711730119623816	0.5218626716834595	2.4044999032941014e-48	0.2920497742411419	0.7072365128304	0.5411355096887424	1.1425495822799276e-52
Lymphnode	0.24701142817066332	0.7217184551595096	5.276345948525306	4.131489298329742	0.822611275859067	0.4771862475962984	3.7334001428464264e-39	0.24493924639712406	0.7533878754668258	0.4973760403827474	6.656136699484567e-41
Ovary	0.20083605738829552	0.705910260364989	5.081847364341944	4.050848976769336	0.7761043205084533	0.42055284653253455	1.7868371882793483e-22	0.1995499543355396	0.798839982732362	0.4486422837810715	5.5366218933973686e-27
Pancreas	0.26468860918703196	0.727819912324381	5.347341429559668	4.217524572553662	0.8170694300559903	0.4789010863685207	4.781695596312578e-37	0.26426481492607984	0.7353142156354238	0.5144802215876294	1.4780076939290788e-41
Placenta	0.3034554218152504	0.7052403230127988	5.0750619828876555	4.028671162359217	0.7864636086271998	0.5351932268891118	3.6447431872276986e-51	0.3022967515007891	0.6971808406870726	0.5513293095036265	1.2455675338478963e-56
