	variance	length1	length2	noise_variance	pearsonr	spearmanrho	sMSE
AT2_04M_F0	1.1486217721002727	3.7779592547436662	1.9168485389340202	0.744887213392724	"[[5.00605400e-01]
 [6.26093186e-20]]"	[4.50396896e-01 6.46233953e-15]	0.7531017157102518
AT2_04M_F0 chrm1	1.8512439047572458	3.369909744734173	3.734692006573981	0.663341463055174	"[[0.51643422]
 [0.07484085]]"	[0.4993985  0.08014589]	0.8260271161688306
AT2_04M_F0 chrm2	0.6081551120434895	2.0620886288165314	2.221982944262996	0.83518388594526	"[[0.32887468]
 [0.21940409]]"	[0.30914488 0.22619136]	0.94895751457839
AT2_04M_F0 chrm3	0.5440761898232342	2.0666187348505503	1.265615067951259	0.8050487833868173	"[[0.41128218]
 [0.28657048]]"	[0.34502064 0.31192476]	0.9392030241316229
AT2_04M_F0 chrm4	0.6217295721505824	2.6917630366353418	1.427012631719966	0.7644630652091248	"[[0.48374485]
 [0.09803649]]"	[0.46794466 0.12687035]	0.895439936599489
AT2_04M_F0 chrm5	1.5962325900606653	4.773196461005676	2.251545047463922	0.6239087570390371	"[[0.56379988]
 [0.03159965]]"	[0.50413326 0.0916536 ]	0.7436027145245395
AT2_04M_F0 chrm6	0.6069487577355048	1.8889219226114	1.1839655145657306	0.6986344977188219	"[[0.42517781]
 [0.14744624]]"	[0.37029928 0.25087597]	0.8670199915750558
AT2_04M_F0 chrm7	0.3731226719400177	2.3100614473896597	1.1478360313127736	0.7550802002253876	"[[0.46944645]
 [0.12033824]]"	[0.43260684 0.13258108]	0.917741888977063
AT2_04M_F0 chrm8	0.7635169021855266	3.1963938662210367	2.1579622160873866	0.7994940716065047	"[[0.38800185]
 [0.20711497]]"	[0.3352322  0.25229081]	0.9597107477794408
AT2_04M_F0 chrm9	1.4318176915798542	3.916431616789231	2.8286185378997786	0.7751700027517695	"[[0.45981554]
 [0.07955721]]"	[0.42798419 0.16840908]	0.8542658491860884
AT2_04M_F0 chrm10	5.124837743768139	4.91596802410586	4.978442705682193	0.6770608848947359	"[[0.49772801]
 [0.07280191]]"	[0.41045408 0.21513882]	0.8104412110618062
AT2_04M_F0 chrm11	6.058824778048097	6.739715072402932	4.164568161410236	0.6011771805473807	"[[0.59842782]
 [0.00614075]]"	[0.52683776 0.0096031 ]	0.656889943301527
AT2_04M_F0 chrm12	0.649579913896915	1.0447631217065707	2.174858939728104	0.6528533481097656	"[[0.51729694]
 [0.12835058]]"	[0.48626374 0.18958792]	0.8514802017005904
AT2_04M_F0 chrm13	0.47568616738577163	1.8758861922209658	2.2436503199846762	0.801987818747014	"[[0.40417272]
 [0.27563858]]"	[0.3730303  0.30737794]	0.971861445643993
AT2_04M_F0 chrm14	0.42691644170347925	1.6684527671644738	0.7867665993398962	0.8069379470129471	"[[0.24249816]
 [0.37635214]]"	[0.29202797 0.35708633]	1.00517461489383
AT2_04M_F0 chrm15	0.6632463932485475	2.649142445255785	1.384562365429255	0.6245305180126033	"[[0.57660007]
 [0.06349658]]"	[0.53156593 0.09429965]	0.721973008668895
AT2_04M_F0 chrm16	0.38209977520604577	0.2860732867630116	1.0362803062212291	0.6792084409445274	"[[0.43046462]
 [0.30256669]]"	[0.37146853 0.36226086]	0.9385152334426486
AT2_04M_F0 chrm17	0.5217755206104322	2.6715066756393453	1.3031734983495413	0.7475557194122489	"[[0.41891261]
 [0.13820115]]"	[0.3445098  0.16317633]	0.8510026229296708
AT2_04M_F0 chrm18	0.9141496770690589	2.9554462338727174	1.9638196938760195	0.653438580452194	"[[0.4998073 ]
 [0.28340188]]"	[0.48272727 0.26554707]	1.0634176803896305
AT2_04M_F0 chrm19	1.5305368341432177	11.1896030110266	4.0147000145388025	0.8203925241284408	"[[0.40505635]
 [0.29432926]]"	[0.41828172 0.25551897]	0.8970149829706612
AT2_04M_F0 chrm20	1.5125643422653146	3.780154338084258	2.3584244078756407	0.6512752713010859	"[[0.55926686]
 [0.09868968]]"	[0.49030969 0.15973548]	0.7727372037728322
