	variance	length1	length2	noise_variance	pearsonr	spearmanrho	sMSE
AT2_18M_F0	1.077973525206354	3.9616297263190376	1.9012868644052436	0.746865367873158	"[[5.00396774e-01]
 [4.13978457e-18]]"	[4.49467583e-01 6.59599981e-15]	0.753451415243323
AT2_18M_F0 chrm1	1.810142548362127	3.2658262478416864	3.6878179833170344	0.6551162209456078	"[[0.58615085]
 [0.03635372]]"	[0.5643609  0.04142581]	0.6900786096415665
AT2_18M_F0 chrm2	0.5542617220953157	1.3077989971574775	2.201362549925796	0.8052815408938534	"[[0.36564052]
 [0.14295834]]"	[0.29635594 0.25970175]	0.903846208027956
AT2_18M_F0 chrm3	0.802000533766759	2.192695975523312	1.3771834434508312	0.7894982545265694	"[[0.39668452]
 [0.15044512]]"	[0.26542828 0.30638475]	1.0276143931141912
AT2_18M_F0 chrm4	0.7671037026587664	2.9793930527605545	1.2128484156989496	0.7603034829269316	"[[0.49107434]
 [0.03688552]]"	[0.48370977 0.04483874]	0.8732746943347264
AT2_18M_F0 chrm5	1.373772718231182	4.135034043647904	2.1997566031727747	0.6117492367029105	"[[0.62819476]
 [0.0138665 ]]"	[0.54599097 0.03071612]	0.6584630228427211
AT2_18M_F0 chrm6	0.44411378427544757	2.57726964445981	1.239166372785511	0.7565777010309781	"[[0.43909931]
 [0.18570039]]"	[0.4525903  0.18255292]	0.9863242276493246
AT2_18M_F0 chrm7	0.3839911342214223	2.2460542506453387	0.7024696775867194	0.7259525382204608	"[[0.48992351]
 [0.04743199]]"	[0.3867265  0.12327519]	0.8141119479233072
AT2_18M_F0 chrm8	0.6350763750176964	2.5007964434068093	1.51384552169005	0.7968728607208501	"[[0.36503173]
 [0.19651398]]"	[0.23278638 0.33012845]	0.9945292861785002
AT2_18M_F0 chrm9	1.4076515497196198	3.818523384070744	3.0535173992805555	0.7673071301411969	"[[0.48129821]
 [0.07663203]]"	[0.4328515  0.11239912]	0.8462106622082691
