	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
AT2_04M_F0_mrna	0.11606089527621735	1.1248691815959067	13.379517582089704	8.867053160570965	2.064458213585424	0.314393226336091	5.823357525056312e-06	0.11321039223824256	0.8838121115917135	0.34366573255039906	5.587542610737774e-07
AT2_04M_F0_mrna_pl	0.28590550104231544	0.9934697640671353	9.88109261499069	6.2450431923249115	1.670020469458705	0.5346813489917805	2.5288246236186738e-20	0.28357778416219237	0.7141053138313658	0.5354688521026337	1.2514740293264572e-21
AT2_04M_F0_mrna_pl_embed	0.3855321541183421	0.907145413816842	8.093441541069591	5.176714426950488	1.4337286931650064	0.6056097555508434	1.6633731355992274e-31	0.384598512624693	0.6134150897756065	0.6228651514945184	5.964216528842225e-26
AT2_04M_F10_mrna	0.12383890168657948	1.096908050041167	12.57339999364028	8.225180083365949	1.9641668330856565	0.32258396507354065	2.796228996628962e-07	0.12143525733283692	0.8757250299760034	0.35410903181288444	2.125152717550757e-08
AT2_04M_F10_mrna_pl	0.29889148506140717	0.9601357071661191	9.16249558754969	5.869131913510218	1.571609836683909	0.5474667043583743	7.457718714196438e-23	0.2965315626967495	0.7010914135298958	0.5479662166412788	3.3606015366892564e-22
AT2_04M_F10_mrna_pl_embed	0.39321639326168223	0.8864560536545742	7.710469875731398	4.904812357342577	1.3549166013252374	0.6116015999224178	9.083526009368769e-33	0.39135993133669944	0.6065552591299074	0.630450012770998	5.384473071049211e-35
AT2_18M_F0_mrna	0.11822131819737589	1.1191784704090977	13.194058790857483	9.004029996236829	2.032239505954615	0.3111723790377449	8.238109987669582e-08	0.11592445857904336	0.8814922586288869	0.3443278825583195	1.6380094305785977e-09
AT2_18M_F0_mrna_pl	0.29036605499793644	0.9832114049505843	9.645956527104822	6.108053587191375	1.6348762525364706	0.5354384189250718	5.392736519749709e-23	0.2874068281522651	0.7104895786244031	0.539655746040233	9.126928712305607e-24
AT2_18M_F0_mrna_pl_embed	0.3900516369029902	0.9048702464296985	8.049566873630038	5.3500172395425825	1.403527417625521	0.6077165976730088	4.7771376189607785e-30	0.38717047454539577	0.6110071458030448	0.6283657947553069	6.457291279058709e-34
AT2_18M_F10_mrna	0.1281991977659838	1.108438027684874	12.907395558622351	8.74871692739611	1.9927943603278926	0.3293122249574339	6.516665203559168e-07	0.1258812517520576	0.8720515385457063	0.3583842905574278	3.07681357022891e-08
AT2_18M_F10_mrna_pl	0.2991886350198768	0.9721763061180126	9.420231499387079	6.026333776230439	1.5999471423108331	0.544989526273794	5.7123843952989034e-21	0.29754449396499616	0.700782822143937	0.5493833300546278	2.1169272793561372e-21
AT2_18M_F10_mrna_pl_embed	0.3998546884416273	0.8987701353858775	7.950176028246899	5.245994757539765	1.370591416404104	0.6101786696138545	8.572216235872713e-30	0.39842982271268923	0.6001450911378048	0.6335483589532236	2.4507618908856917e-32
AM_04M_F0_mrna	0.20587123169480354	1.0646197359914882	11.640215384725249	7.542547950498846	1.8445864206971359	0.43142366250345365	7.608291574084226e-15	0.20549678456848106	0.793822076887604	0.4541077830309022	1.8967493691242994e-14
AM_04M_F0_mrna_pl	0.3924588242790549	0.9141942419693221	8.210813852218893	5.375625110583645	1.4103989218260717	0.619764408480804	2.9935689127296727e-34	0.39195226000527295	0.6075277230757732	0.6269761029494894	1.9541063725001942e-36
AM_04M_F0_mrna_pl_embed	0.46339788228162426	0.846798945504258	7.038508577011292	4.569461213015588	1.246063164132962	0.6653163539551022	7.391641155392771e-38	0.4628748762198615	0.536666948269317	0.6811694946889502	1.5003235720085033e-43
AM_04M_F10_mrna	0.18131096221303378	1.0521800861340582	11.342397462904565	7.141764936174923	1.8160920523037785	0.40289407174803876	3.6665939261846087e-13	0.17836401626190784	0.8176699114511164	0.42670053675351916	5.003684965491959e-13
AM_04M_F10_mrna_pl	0.3803851884026357	0.8976289772567991	7.92736182558914	5.189905039815985	1.3729693783719337	0.6121281199235904	3.083103027776236e-35	0.37886107948882886	0.6181475670699361	0.6181244995630542	1.7872083267837806e-35
AM_04M_F10_mrna_pl_embed	0.4449661694992044	0.8401357150664884	6.944373080354325	4.571513145094177	1.230620390352677	0.6524732963030292	1.4525393612112093e-41	0.4429986663058452	0.5543392071453614	0.6690720710010072	5.355870130928184e-43
AM_18M_F0_mrna	0.20151498977721244	1.0511500570594734	11.289503162937576	7.5354023891602795	1.7941635405280594	0.42444179642704166	3.2124692955889486e-14	0.19881123442471038	0.798900715735529	0.4499453920193206	2.377399180587936e-17
AM_18M_F0_mrna_pl	0.3869715931235403	0.9029486389807031	8.042035967966989	5.217249339105527	1.378917023646856	0.6082888202990853	7.882040878498731e-35	0.38496813467638324	0.6132583030909401	0.622539873077489	7.96118993468669e-36
AM_18M_F0_mrna_pl_embed	0.4595998444846119	0.839113076527995	6.940079114111716	4.684695599005182	1.2134025527196617	0.6565966057364747	1.5024057164452805e-40	0.4582712090041675	0.5401467381931625	0.6790638557720738	1.2119874412572204e-44
AM_18M_F10_mrna	0.17448078660743413	1.0462668053601223	11.160867212421719	7.155197288670772	1.7981111153325162	0.3903464463048146	2.522763703672065e-09	0.17095099133239358	0.8253351671245509	0.41884927118195314	1.8432541884141004e-11
AM_18M_F10_mrna_pl	0.37057277767750324	0.9020427050361135	8.001082088485726	5.301613362805191	1.3685813384759267	0.5989499147605575	1.0651316652058475e-31	0.3692211564635447	0.6278982895887529	0.6091565575940358	9.336840693183081e-35
AM_18M_F10_mrna_pl_embed	0.43919012595907025	0.8418798378785401	6.971762415935153	4.709535954709807	1.2206402853179275	0.6451067339916302	1.803065448330343e-38	0.4381826043060821	0.5592332263803557	0.6630566659725952	2.1065996494222085e-41
