	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
AT2_04M_F0_mrna	0.11606089527621735	1.1248691815959067	2.1815332731684625	1.9236765445299728	2.064458213585424	0.34366573255039906	5.587542610737774e-07	0.11321039223824256	0.8838121115917135	0.314393226336091	5.823357525056312e-06
AT2_04M_F0_mrna_pl	0.28590550104231544	0.9934697640671353	1.991519203371011	1.7313171434546224	1.670020469458705	0.5354688521026337	1.2514740293264572e-21	0.28357778416219237	0.7141053138313658	0.5346813489917805	2.5288246236186738e-20
AT2_04M_F0_mrna_pl_embed	0.3855321541183421	0.907145413816842	1.8757128600905772	1.6394289637762	1.4337286931650064	0.6228651514945184	5.964216528842225e-26	0.384598512624693	0.6134150897756065	0.6056097555508434	1.6633731355992274e-31
AT2_04M_F10_mrna	0.12383890168657948	1.096908050041167	2.1400913946093043	1.881885308174273	1.9641668330856565	0.35410903181288444	2.125152717550757e-08	0.12143525733283692	0.8757250299760034	0.32258396507354065	2.796228996628962e-07
AT2_04M_F10_mrna_pl	0.29889148506140717	0.9601357071661191	1.9462454640477442	1.7019523809688155	1.571609836683909	0.5479662166412788	3.3606015366892564e-22	0.2965315626967495	0.7010914135298958	0.5474667043583743	7.457718714196438e-23
AT2_04M_F10_mrna_pl_embed	0.39321639326168223	0.8864560536545742	1.8488695414677518	1.613183095047902	1.3549166013252374	0.630450012770998	5.384473071049211e-35	0.39135993133669944	0.6065552591299074	0.6116015999224178	9.083526009368769e-33
AT2_18M_F0_mrna	0.11822131819737589	1.1191784704090977	2.172779439501603	1.9352258863741594	2.032239505954615	0.3443278825583195	1.6380094305785977e-09	0.11592445857904336	0.8814922586288869	0.3111723790377449	8.238109987669582e-08
AT2_18M_F0_mrna_pl	0.29036605499793644	0.9832114049505843	1.97732833751143	1.7227000126674603	1.6348762525364706	0.539655746040233	9.126928712305607e-24	0.2874068281522651	0.7104895786244031	0.5354384189250718	5.392736519749709e-23
AT2_18M_F0_mrna_pl_embed	0.3900516369029902	0.9048702464296985	1.8727272698070554	1.6555378420351279	1.403527417625521	0.6283657947553069	6.457291279058709e-34	0.38717047454539577	0.6110071458030448	0.6077165976730088	4.7771376189607785e-30
AT2_18M_F10_mrna	0.1281991977659838	1.108438027684874	2.157194940981906	1.917369852845043	1.9927943603278926	0.3583842905574278	3.07681357022891e-08	0.1258812517520576	0.8720515385457063	0.3293122249574339	6.516665203559168e-07
AT2_18M_F10_mrna_pl	0.2991886350198768	0.9721763061180126	1.9625563459394422	1.7144174318582794	1.5999471423108331	0.5493833300546278	2.1169272793561372e-21	0.29754449396499616	0.700782822143937	0.544989526273794	5.7123843952989034e-21
