Row.names	Gene.names	Gene.description	AvgChrs	NormPosition	Gene Length	AM_04M_F10	AM_04M_F10_P
ENSMUSG00000000028	Cdc45	cell division cycle 45	15.191392365	0.191392365214939	14.944895039677872	3.99195576863787	23.42894907208498
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor	10.993152268	0.9931522682976878	14.18324767486776	4.352047033061161	23.565827292662927
ENSMUSG00000000058	Cav2	caveolin 2	5.115437082	0.11543708240739038	12.953105150591341	6.67921792561136	24.921467678232673
ENSMUSG00000000078	Klf6	Kruppel-like factor 6	12.048711660999999	0.04871166053469842	13.121533517340032	8.324152198979059	25.933974208576746
ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1	3.769721958	0.7697219580612675	16.930471704231547	2.67921792561136	23.328064555835525
ENSMUSG00000000127	Fer	fer (fms/fps related) protein kinase	16.67396142	0.6739614195253594	17.893420043921253	3.64525900437585	23.27926643308555
ENSMUSG00000000131	Xpo6	exportin 6	6.867366904	0.8673669039582448	16.592018976402713	6.7212976660290185	23.724407843218337
ENSMUSG00000000134	Tfe3	transcription factor E3	19.045423738	0.045423738493619234	13.625937099538461	5.96718709926322	24.24933980444225
ENSMUSG00000000148	Brat1	BRCA1-associated ATM activator 1	4.926746059	0.9267460588912608	13.810571634741146	5.67921792561136	24.04851705559617
ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12	4.927287599	0.9272875985305176	16.136170073426182	6.67921792561136	23.83371470315766
ENSMUSG00000000154	Slc22a18	solute carrier family 22 (organic cation transporter), member 18	6.986558688	0.9865586881935776	14.64374347482167	4.0602965036547	23.46962254864723
ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	8.406116135	0.4061161348948607	12.863992637170805	6.7381116146649305	24.994514910438465
ENSMUSG00000000184	Ccnd2	cyclin D2	5.849082478	0.8490824778341021	14.722327264280164	8.906635884738801	25.627697218264274
ENSMUSG00000000194	Gpr107	G protein-coupled receptor 107	1.171242619	0.1712426193717816	16.020176964696535	6.303708790519152	23.70604592155147
ENSMUSG00000000204	Slfn4	schlafen 4	10.681364419	0.6813644191536868	13.875557388803728	5.1846008465802695	23.82834661470695
ENSMUSG00000000244	Tspan32	tetraspanin 32	6.983298339	0.9832983386119636	13.833483105659585	5.48657284766896	23.95610901370015
ENSMUSG00000000247	Lhx2	LIM homeobox protein 2	1.210608028	0.2106080281133236	14.894249362864231	2.0942554248902	23.4990930717757
ENSMUSG00000000325	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	15.187130095	0.18713009545232714	15.845833042278075	2.64525900437586	23.384864928329154
ENSMUSG00000000339	Rtca	RNA 3'-terminal phosphate cyclase	2.727935631	0.7279356313384281	14.232196050698201	4.5065289414676295	23.581217617956067
ENSMUSG00000000346	Dazap2	DAZ associated protein 2	14.96707508	0.967075080049308	12.401946123976536	8.53799045266597	26.31543381035015
ENSMUSG00000000365	Rnf17	ring finger protein 17	13.452063987999999	0.4520639877374821	16.901845030201912	2.0942554248902	23.324602998316944
ENSMUSG00000000386	Mx1	MX dynamin-like GTPase 1	15.992334649000002	0.9923346491287736	13.954196310386875	5.82845703635499	24.078565103685822
ENSMUSG00000000409	Lck	lymphocyte protein tyrosine kinase	3.827822836	0.8278228363569338	14.626678683767501	1.18460084658027	23.57247393066927
ENSMUSG00000000420	Galnt1	polypeptide N-acetylgalactosaminyltransferase 1	17.267313953	0.2673139532356936	16.31405211919332	6.5521495999843715	23.728350693403552
ENSMUSG00000000439	Mkrn2	makorin, ring finger protein, 2	5.772104513	0.7721045134833016	14.338875632131565	3.99195576863787	23.506619735621914
ENSMUSG00000000440	Pparg	peroxisome proliferator activated receptor gamma	5.770858405	0.7708584048679741	16.982013149892126	7.5036463610279	23.986047897259564
ENSMUSG00000000441	Raf1	v-raf-leukemia viral oncogene 1	5.772338845	0.7723388450538988	15.837825009196694	7.315521157036049	24.258894178223475
ENSMUSG00000000489	Pdgfb	platelet derived growth factor, B polypeptide	14.768959937	0.7689599373570822	14.221511601331745	3.0602965036547	23.521134712019723
ENSMUSG00000000530	Acvrl1	activin A receptor, type II-like 1	14.972062158	0.9720621583135968	14.037375357763239	6.2289949659387185	24.261952326636244
ENSMUSG00000000532	Acvr1b	activin A receptor, type 1B	14.972609490999998	0.9726094909075932	15.273832015733669	6.84914292705367	24.19166400148317
ENSMUSG00000000552	Zfp385a	zinc finger protein 385A	14.993111634000002	0.9931116338295785	14.677169057716116	6.84682854811289	24.398266851432044
