Row.names	Gene.names	Gene.description	AvgChrs	NormPosition	Gene Length	AT2_04M_F0	AT2_04M_F0_P
ENSMUSG00000000028	Cdc45	cell division cycle 45	15.191392365	0.191392365214939	14.944895039677872	1.3475370092573702	24.189516217210603
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor	10.993152268	0.9931522682976878	14.18324767486776	4.24803990170385	24.029227441284085
ENSMUSG00000000058	Cav2	caveolin 2	5.115437082	0.11543708240739038	12.953105150591341	6.16298668189938	25.19872822216761
ENSMUSG00000000078	Klf6	Kruppel-like factor 6	12.048711660999999	0.04871166053469842	13.121533517340032	6.63501904086681	25.435699730013276
ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1	3.769721958	0.7697219580612675	16.930471704231547	5.24550267010871	23.619400986952996
ENSMUSG00000000126	Wnt9a	wingless-type MMTV integration site family, member 9A	10.485902722	0.4859027223900472	14.700439718141093	2.10250735360433	24.13330186982414
ENSMUSG00000000127	Fer	fer (fms/fps related) protein kinase	16.67396142	0.6739614195253594	17.893420043921253	3.95622390604694	23.72240649913181
ENSMUSG00000000131	Xpo6	exportin 6	6.867366904	0.8673669039582448	16.592018976402713	5.854353044007222	23.774136824062854
ENSMUSG00000000134	Tfe3	transcription factor E3	19.045423738	0.045423738493619234	13.625937099538461	4.99873591809445	24.334116471320296
ENSMUSG00000000142	Axin2	axin 2	10.892310754	0.8923107540444992	14.893396342087943	4.88265764751731	23.981628843178687
ENSMUSG00000000148	Brat1	BRCA1-associated ATM activator 1	4.926746059	0.9267460588912608	13.810571634741146	3.8021346083508303	24.043103197147047
ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12	4.927287599	0.9272875985305176	16.136170073426182	5.748071891366769	23.865428813670203
ENSMUSG00000000154	Slc22a18	solute carrier family 22 (organic cation transporter), member 18	6.986558688	0.9865586881935776	14.64374347482167	4.16310939064562	23.95541747318071
ENSMUSG00000000157	Itgb2l	integrin beta 2-like	15.981927962	0.981927962154684	14.380663980540803	1.06329845868201	24.144825015264672
ENSMUSG00000000159	Igsf5	immunoglobulin superfamily, member 5	15.982036614	0.9820366144559971	17.322561952466355	5.66093217556632	23.580464019525074
ENSMUSG00000000167	Pih1d2	PIH1 domain containing 2	8.406285291	0.40628529081117226	12.906702732460797	2.73098867320133	24.04610094057253
ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	8.406116135	0.4061161348948607	12.863992637170805	5.6891071386016	24.934290261775768
ENSMUSG00000000184	Ccnd2	cyclin D2	5.849082478	0.8490824778341021	14.722327264280164	6.417032931914378	24.62597831149375
ENSMUSG00000000216	Scnn1g	sodium channel, nonvoltage-gated 1 gamma	6.837116719	0.8371167192430323	15.053077387099254	4.40166713354267	23.9033625837258
ENSMUSG00000000253	Gmpr	guanosine monophosphate reductase	12.378093359000001	0.3780933591179572	15.500468462953087	2.89358715952307	24.046420130612574
ENSMUSG00000000266	Mid2	midline 2	19.822750911	0.8227509106388767	16.65390868036994	4.82046868658219	23.664710568597012
ENSMUSG00000000276	Dgke	diacylglycerol kinase, epsilon	10.729432827	0.7294328272634361	14.950874800191977	4.5812162707227815	23.930598993133202
ENSMUSG00000000278	Scpep1	serine carboxypeptidase 1	10.728521378	0.7285213783595579	14.940543015138166	6.525163008874968	24.597127855221814
ENSMUSG00000000282	Mnt	max binding protein	10.613014118999999	0.6130141186524923	13.853796870064917	4.6045970977460495	24.154342420751366
ENSMUSG00000000296	Tpd52l1	tumor protein D52-like 1	9.240171152	0.2401711517747279	16.79337469512168	1.01211300407564	24.25175633317769
ENSMUSG00000000301	Pemt	phosphatidylethanolamine N-methyltransferase	10.491540805	0.4915408053058004	16.21133699091777	0.39893032940587697	24.212089895409946
ENSMUSG00000000305	Cdh4	cadherin 4	1.986588991	0.9865889914726896	18.801651528948394	2.95480501091092	23.96689769387679
ENSMUSG00000000320	Alox12	arachidonate 12-lipoxygenase	10.575417281	0.5754172814044347	13.762382038710392	0.9737230721530792	24.084154476082904
