Row.names	Gene.names	Gene.description	AvgChrs	NormPosition	Gene Length	AT2_18M_F0	AT2_18M_F0_P
ENSMUSG00000000028	Cdc45	cell division cycle 45	15.191392365	0.191392365214939	14.944895039677872	0.520289196652602	24.25750114960253
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor	10.993152268	0.9931522682976878	14.18324767486776	4.16352272347974	24.02177299633533
ENSMUSG00000000058	Cav2	caveolin 2	5.115437082	0.11543708240739038	12.953105150591341	5.95302415676489	25.077036068651843
ENSMUSG00000000078	Klf6	Kruppel-like factor 6	12.048711660999999	0.04871166053469842	13.121533517340032	6.64957221359756	25.456435132636035
ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1	3.769721958	0.7697219580612675	16.930471704231547	5.186867342994732	23.634497710284197
ENSMUSG00000000127	Fer	fer (fms/fps related) protein kinase	16.67396142	0.6739614195253594	17.893420043921253	3.82892723998313	23.796267596400536
ENSMUSG00000000131	Xpo6	exportin 6	6.867366904	0.8673669039582448	16.592018976402713	5.65635262629595	23.751424894961893
ENSMUSG00000000134	Tfe3	transcription factor E3	19.045423738	0.045423738493619234	13.625937099538461	5.05131966131957	24.37063154415094
ENSMUSG00000000142	Axin2	axin 2	10.892310754	0.8923107540444992	14.893396342087943	4.94440445740306	24.006479385746747
ENSMUSG00000000148	Brat1	BRCA1-associated ATM activator 1	4.926746059	0.9267460588912608	13.810571634741146	4.14939263757606	24.07961971995756
ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12	4.927287599	0.9272875985305176	16.136170073426182	5.5558401462584985	23.838085219022183
ENSMUSG00000000154	Slc22a18	solute carrier family 22 (organic cation transporter), member 18	6.986558688	0.9865586881935776	14.64374347482167	4.07041331908826	23.949797542518194
ENSMUSG00000000159	Igsf5	immunoglobulin superfamily, member 5	15.982036614	0.9820366144559971	17.322561952466355	5.70882004619009	23.6100184345296
ENSMUSG00000000167	Pih1d2	PIH1 domain containing 2	8.406285291	0.40628529081117226	12.906702732460797	3.3276441187102	24.087490363780226
ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	8.406116135	0.4061161348948607	12.863992637170805	5.84221729153996	25.0410063503604
